distance_km,order_value,rider_availability,shop_delivery_enabled,pickup_enabled,digibazaar_delivery_enabled,shop_rating,avg_prep_time_mins,current_pending_orders,shop_delivery_radius_km,delivery_mode
11.91,1898.06,High,1,0,0,3.0,8,25,5.4,shop_delivery
11.71,2186.03,Medium,1,0,1,3.9,30,46,5.0,digibazaar_delivery
2.38,2422.12,High,1,0,0,4.8,13,12,7.8,shop_delivery
7.08,1151.37,Low,1,0,1,5.0,21,2,2.2,digibazaar_delivery
14.88,2862.74,High,1,1,0,4.3,22,48,3.9,pickup
12.77,482.51,Low,0,0,1,3.7,5,44,0.0,digibazaar_delivery
10.85,396.93,Medium,0,1,1,2.8,21,49,0.0,digibazaar_delivery
3.73,1382.48,Low,0,1,0,3.2,22,1,0.0,pickup
1.67,460.03,High,0,0,1,4.0,20,42,0.0,digibazaar_delivery
9.47,610.65,Medium,1,1,1,3.6,24,0,3.4,digibazaar_delivery
10.73,2396.49,High,1,0,0,3.8,11,6,2.2,shop_delivery
7.01,273.5,Medium,0,0,1,3.0,13,48,0.0,digibazaar_delivery
5.72,893.08,Medium,0,1,0,4.8,9,15,0.0,pickup
8.02,2576.04,Medium,0,1,0,4.2,10,19,0.0,pickup
13.64,816.93,Low,1,0,0,3.7,11,32,7.7,shop_delivery
13.3,176.93,High,0,0,1,2.8,15,16,0.0,digibazaar_delivery
5.52,1788.43,High,1,0,1,4.0,6,25,7.9,digibazaar_delivery
1.11,916.34,Medium,1,0,1,4.0,12,25,2.7,digibazaar_delivery
4.7,2610.14,Medium,1,0,0,2.9,9,15,6.1,shop_delivery
0.62,1964.94,Medium,0,0,1,2.5,18,46,0.0,digibazaar_delivery
0.52,252.51,Low,0,0,1,4.4,23,47,0.0,digibazaar_delivery
10.45,2230.41,Low,1,1,0,3.8,26,38,2.2,pickup
4.82,1813.02,Low,1,1,0,2.9,22,4,5.2,shop_delivery
8.65,1700.33,High,1,1,0,4.1,21,5,4.6,pickup
8.24,1448.62,High,0,1,0,3.5,28,35,0.0,pickup
10.64,2974.06,High,1,1,0,2.7,9,3,6.7,pickup
5.08,2565.69,Low,0,1,1,2.7,20,10,0.0,pickup
5.8,1363.17,Medium,1,1,1,3.2,8,31,6.9,digibazaar_delivery
3.41,1688.46,Low,1,1,0,2.7,26,21,7.5,shop_delivery
1.69,2898.12,Medium,0,1,0,2.7,28,22,0.0,pickup
10.92,272.83,High,0,1,0,3.4,21,28,0.0,pickup
6.18,1502.09,Low,1,1,1,4.8,13,32,5.7,pickup
2.81,137.14,High,1,0,1,3.7,12,44,6.0,digibazaar_delivery
3.91,1440.57,High,0,1,0,3.7,12,35,0.0,pickup
13.29,203.41,Low,0,0,1,2.8,20,8,0.0,digibazaar_delivery
1.46,1400.99,High,1,0,1,4.5,26,47,3.2,digibazaar_delivery
2.86,1604.28,High,0,1,0,2.5,10,4,0.0,pickup
10.48,1340.56,Medium,1,1,1,4.2,27,12,6.3,digibazaar_delivery
11.19,876.29,Medium,1,1,0,3.4,26,6,4.5,pickup
8.56,2968.44,Low,1,1,0,4.6,15,8,5.8,pickup
9.47,2262.36,High,0,1,0,4.0,24,34,0.0,pickup
9.74,815.21,Medium,1,1,1,2.8,9,35,5.3,digibazaar_delivery
14.53,1466.72,Low,1,1,0,4.9,27,33,6.7,pickup
3.5,86.71,Medium,0,1,0,3.0,27,15,0.0,pickup
7.36,2733.28,Low,0,1,0,3.2,28,2,0.0,pickup
13.1,2202.66,Low,1,0,0,4.3,12,47,2.7,shop_delivery
12.04,1953.6,Medium,1,0,0,4.3,26,42,3.9,shop_delivery
7.12,1247.13,Medium,0,0,1,4.6,11,5,0.0,digibazaar_delivery
9.59,2678.14,Medium,0,0,1,3.2,28,20,0.0,digibazaar_delivery
8.79,616.81,High,0,1,1,3.6,30,9,0.0,digibazaar_delivery
1.71,293.14,High,1,1,0,4.6,18,27,7.6,shop_delivery
1.73,884.17,Low,0,0,1,3.8,18,1,0.0,digibazaar_delivery
9.32,441.52,High,1,0,1,4.1,24,49,4.1,digibazaar_delivery
13.14,2028.14,Low,1,0,0,4.0,20,45,2.6,shop_delivery
13.89,1503.19,Medium,0,0,1,4.9,21,11,0.0,digibazaar_delivery
4.62,2452.25,Medium,0,1,1,3.2,18,48,0.0,digibazaar_delivery
4.9,338.72,Low,1,1,1,3.3,12,17,6.3,shop_delivery
0.27,1954.03,Medium,0,0,1,4.2,30,38,0.0,digibazaar_delivery
6.67,390.38,Medium,0,0,1,3.6,15,4,0.0,digibazaar_delivery
8.39,2566.55,Medium,0,0,1,4.2,23,28,0.0,digibazaar_delivery
10.54,849.79,High,1,1,0,4.7,5,43,7.6,pickup
2.55,848.48,Low,1,0,0,2.8,19,42,5.7,shop_delivery
6.77,2977.67,Low,0,1,0,5.0,15,30,0.0,pickup
0.48,2381.8,Medium,1,1,0,2.9,15,25,6.6,shop_delivery
10.98,2547.25,High,0,1,1,2.7,14,6,0.0,digibazaar_delivery
0.11,1227.69,Low,1,0,0,2.5,18,23,4.5,shop_delivery
10.44,708.49,High,0,1,0,4.5,16,24,0.0,pickup
4.27,2411.7,Medium,0,1,1,2.8,15,49,0.0,pickup
14.19,1424.36,Medium,0,1,1,3.7,16,19,0.0,digibazaar_delivery
11.78,762.76,High,0,1,0,2.5,7,7,0.0,pickup
1.8,2819.31,Low,1,1,1,3.7,24,32,4.7,shop_delivery
0.78,2294.14,Low,0,1,1,4.9,15,23,0.0,pickup
12.17,178.6,High,1,0,0,3.1,23,31,3.8,shop_delivery
12.04,1181.07,Low,0,0,1,4.7,22,2,0.0,digibazaar_delivery
0.41,1262.48,High,1,1,0,3.2,18,29,5.0,shop_delivery
2.62,1981.38,Medium,1,0,1,3.6,12,30,5.4,digibazaar_delivery
0.94,2952.91,Low,1,1,0,3.5,11,31,7.4,shop_delivery
0.71,75.76,High,0,1,1,3.3,5,9,0.0,pickup
5.03,1551.84,Low,1,0,0,3.4,28,5,3.0,shop_delivery
10.99,2904.18,High,0,0,1,4.2,6,28,0.0,digibazaar_delivery
1.01,1923.25,Medium,0,0,1,3.6,23,18,0.0,digibazaar_delivery
1.07,1406.22,Low,0,1,1,3.5,29,18,0.0,pickup
9.72,2349.83,Low,0,0,1,4.2,15,18,0.0,digibazaar_delivery
3.95,1915.48,Medium,0,0,1,3.6,6,10,0.0,digibazaar_delivery
12.09,2690.19,Low,1,0,0,4.1,22,6,6.2,shop_delivery
12.2,1190.84,Low,0,1,1,3.0,25,34,0.0,pickup
3.09,136.52,Medium,1,0,0,3.0,21,37,7.5,shop_delivery
8.47,2179.7,Low,1,0,0,2.6,29,32,3.2,shop_delivery
14.03,1236.02,Medium,1,0,1,4.3,20,17,4.2,digibazaar_delivery
2.6,2650.1,Medium,0,0,1,3.5,5,24,0.0,digibazaar_delivery
7.39,1163.27,Low,1,0,1,4.0,13,17,3.7,digibazaar_delivery
6.13,1779.45,Low,1,0,1,4.3,13,44,6.2,shop_delivery
1.6,195.33,Low,1,0,1,4.0,28,27,6.4,shop_delivery
5.77,2542.64,High,1,1,0,3.1,6,8,4.2,pickup
4.98,1675.92,High,1,1,1,2.8,13,27,7.6,digibazaar_delivery
13.73,1867.24,Medium,1,0,0,3.1,14,15,3.8,shop_delivery
14.1,2276.45,High,0,1,0,3.6,9,18,0.0,pickup
1.39,63.77,Medium,0,1,0,4.5,17,30,0.0,pickup
10.41,2504.91,Medium,1,0,0,4.1,25,26,2.5,shop_delivery
13.08,1595.49,Medium,1,1,1,4.9,18,2,5.5,digibazaar_delivery
5.01,1425.15,Medium,0,0,1,4.8,18,22,0.0,digibazaar_delivery
12.65,1826.29,High,1,1,0,4.7,14,26,8.0,pickup
3.03,880.63,Low,0,1,1,3.1,10,46,0.0,pickup
0.62,2020.6,Medium,0,0,1,3.7,13,2,0.0,digibazaar_delivery
0.99,1612.13,Low,1,1,0,3.9,26,38,3.3,shop_delivery
9.5,898.69,Medium,1,1,1,5.0,20,26,6.9,digibazaar_delivery
4.42,1197.08,Medium,0,0,1,2.6,7,12,0.0,digibazaar_delivery
9.69,676.62,High,0,1,0,2.6,6,22,0.0,pickup
12.99,2522.69,Medium,0,1,0,3.5,23,36,0.0,pickup
9.3,2054.55,Low,1,0,1,3.2,27,32,6.2,digibazaar_delivery
7.73,620.0,High,0,1,1,4.8,21,25,0.0,digibazaar_delivery
3.97,2995.17,High,0,0,1,4.9,16,30,0.0,digibazaar_delivery
10.06,2211.49,Low,1,0,1,2.7,22,16,7.0,digibazaar_delivery
3.88,1662.22,Low,1,1,1,3.9,17,21,6.8,shop_delivery
2.03,373.21,Medium,1,1,1,2.7,25,24,6.9,digibazaar_delivery
10.27,1071.18,Medium,0,0,1,3.7,24,45,0.0,digibazaar_delivery
3.96,941.36,High,1,1,0,2.8,14,26,4.8,shop_delivery
4.65,1212.21,High,0,1,0,3.6,20,12,0.0,pickup
10.38,2193.42,Low,1,1,1,2.8,8,17,3.6,pickup
6.09,2020.51,Low,0,1,1,4.2,29,29,0.0,pickup
0.2,1606.73,Low,1,1,1,4.6,20,48,7.1,shop_delivery
9.23,1547.17,Medium,1,0,0,4.2,8,5,7.7,shop_delivery
1.26,1884.35,High,1,1,1,3.5,11,40,2.3,digibazaar_delivery
1.47,57.76,Medium,0,0,1,2.9,23,28,0.0,digibazaar_delivery
0.51,1222.85,Medium,0,1,0,3.5,17,7,0.0,pickup
14.21,473.02,Medium,0,0,1,3.0,27,13,0.0,digibazaar_delivery
1.57,2232.19,Low,1,1,0,4.6,28,48,3.5,shop_delivery
4.39,826.78,Low,1,1,0,4.3,8,22,2.5,pickup
4.71,2274.97,Low,0,0,1,4.7,11,47,0.0,digibazaar_delivery
1.12,727.87,Medium,0,1,0,2.7,18,34,0.0,pickup
14.45,143.81,Low,1,1,0,4.1,12,11,5.5,shop_delivery
2.04,1590.0,Medium,0,0,1,4.7,17,43,0.0,digibazaar_delivery
2.29,1955.03,Low,0,1,0,4.2,18,44,0.0,pickup
14.49,2663.3,Medium,0,1,0,4.5,8,33,0.0,pickup
7.87,487.48,Low,0,0,1,2.5,16,31,0.0,digibazaar_delivery
9.45,2565.74,Medium,0,0,1,2.6,21,50,0.0,digibazaar_delivery
14.44,1491.62,High,1,0,1,3.4,5,1,7.3,digibazaar_delivery
0.74,1347.9,High,0,1,0,4.7,25,15,0.0,pickup
8.57,494.78,Medium,1,0,1,3.8,8,41,2.6,digibazaar_delivery
6.79,182.65,High,0,0,1,3.0,28,36,0.0,digibazaar_delivery
13.71,498.34,Medium,0,1,0,3.5,13,5,0.0,pickup
1.9,739.73,Medium,0,0,1,4.0,16,49,0.0,digibazaar_delivery
10.42,2497.65,High,1,1,0,3.4,12,17,6.7,pickup
8.46,491.75,Medium,0,0,1,3.1,10,26,0.0,digibazaar_delivery
1.51,468.51,High,0,1,0,4.9,7,23,0.0,pickup
14.28,506.68,Medium,1,0,0,5.0,9,8,5.5,shop_delivery
2.21,1532.03,Medium,0,1,1,3.1,7,27,0.0,digibazaar_delivery
13.36,1678.12,High,0,0,1,3.8,23,47,0.0,digibazaar_delivery
0.81,378.37,Low,0,1,1,2.6,11,1,0.0,pickup
12.49,1658.19,Low,1,1,0,3.9,11,40,3.0,pickup
9.03,1259.44,Medium,1,1,1,4.6,18,36,5.3,digibazaar_delivery
5.72,2011.29,Medium,1,0,1,2.6,17,14,7.2,digibazaar_delivery
9.47,1170.42,Low,1,0,0,4.5,7,49,3.4,shop_delivery
14.99,2436.0,Low,0,0,1,2.9,5,43,0.0,digibazaar_delivery
1.12,2227.59,Medium,1,0,1,3.7,26,44,7.4,digibazaar_delivery
3.84,1613.27,Medium,0,0,1,4.0,19,36,0.0,digibazaar_delivery
3.68,2713.91,Medium,0,0,1,3.5,24,33,0.0,digibazaar_delivery
12.98,297.99,High,1,0,0,2.7,22,30,4.1,shop_delivery
2.81,138.37,Medium,0,0,1,2.8,8,17,0.0,digibazaar_delivery
10.47,2841.81,Medium,0,0,1,4.0,17,27,0.0,digibazaar_delivery
7.8,2437.65,Medium,1,0,0,3.4,6,13,2.7,shop_delivery
0.55,192.4,High,1,0,1,3.0,6,26,4.7,digibazaar_delivery
6.46,1712.27,High,1,1,0,4.0,24,27,6.7,shop_delivery
5.84,579.54,High,1,0,0,4.6,16,24,2.1,shop_delivery
8.87,1163.99,Medium,0,0,1,2.9,11,11,0.0,digibazaar_delivery
3.5,2696.53,Medium,1,0,1,4.2,16,3,2.6,digibazaar_delivery
1.83,2451.87,High,0,0,1,3.2,18,36,0.0,digibazaar_delivery
1.66,337.18,Medium,0,1,0,2.6,7,20,0.0,pickup
4.34,2177.9,Medium,1,0,1,3.9,30,27,3.3,digibazaar_delivery
0.49,1577.04,Medium,1,0,0,3.4,25,33,3.2,shop_delivery
1.54,1726.05,Medium,1,1,1,4.4,12,20,2.2,digibazaar_delivery
5.18,464.47,Medium,0,0,1,2.5,16,49,0.0,digibazaar_delivery
11.53,549.7,High,1,0,0,5.0,26,1,3.3,shop_delivery
10.17,735.13,High,1,1,1,4.5,25,46,7.3,digibazaar_delivery
2.42,2193.36,Low,0,0,1,4.9,14,48,0.0,digibazaar_delivery
11.84,1224.33,Medium,1,0,0,4.0,17,2,5.4,shop_delivery
7.83,913.27,Low,1,0,1,2.7,29,50,2.2,digibazaar_delivery
10.89,1306.14,High,0,0,1,2.6,12,45,0.0,digibazaar_delivery
3.41,2013.99,Medium,1,1,0,3.8,24,15,7.7,shop_delivery
11.31,719.09,High,1,0,1,3.6,25,28,2.7,digibazaar_delivery
12.27,251.51,Low,1,0,1,3.5,9,42,3.7,digibazaar_delivery
9.31,425.5,Medium,1,0,1,4.6,10,18,2.8,digibazaar_delivery
1.76,1796.28,Low,1,0,1,4.9,9,36,6.2,shop_delivery
11.78,972.88,High,0,0,1,4.3,11,0,0.0,digibazaar_delivery
0.7,2060.66,Low,0,1,1,4.4,29,9,0.0,pickup
0.58,1799.39,Medium,1,0,1,3.9,17,40,6.9,digibazaar_delivery
8.44,206.01,Medium,1,1,0,4.2,5,39,7.1,pickup
2.81,257.39,Low,1,1,0,4.4,12,1,2.8,pickup
11.28,2420.13,Low,0,0,1,3.6,9,12,0.0,digibazaar_delivery
6.58,922.39,Low,0,1,1,2.5,21,23,0.0,pickup
0.41,1340.06,Low,1,1,1,3.0,18,13,5.5,shop_delivery
11.56,2584.16,High,0,0,1,4.6,24,23,0.0,digibazaar_delivery
13.04,2978.32,Low,1,0,0,3.5,25,43,3.1,shop_delivery
4.88,874.47,Low,0,0,1,4.0,9,14,0.0,digibazaar_delivery
9.06,993.22,High,1,0,0,4.6,12,30,4.5,shop_delivery
1.61,953.98,High,1,1,0,4.9,25,39,6.2,shop_delivery
1.86,363.93,High,0,0,1,2.7,5,8,0.0,digibazaar_delivery
3.22,2439.52,Low,0,0,1,2.9,10,16,0.0,digibazaar_delivery
7.2,963.92,High,1,0,0,3.5,28,17,5.8,shop_delivery
5.25,2193.66,Medium,0,0,1,4.3,15,39,0.0,digibazaar_delivery
1.22,2360.62,Low,0,1,0,4.9,5,12,0.0,pickup
11.42,1299.62,High,1,0,0,3.3,11,1,2.3,shop_delivery
7.73,476.16,Medium,0,1,0,2.7,9,5,0.0,pickup
5.49,2312.36,Low,1,1,0,3.7,29,4,4.9,pickup
13.53,1500.24,Low,1,0,0,3.4,19,40,5.9,shop_delivery
2.93,1504.89,Low,1,1,0,4.7,17,22,7.9,shop_delivery
11.54,1509.03,Medium,0,1,0,3.5,22,37,0.0,pickup
0.54,1102.64,Low,1,0,1,3.9,27,46,3.5,shop_delivery
3.87,2038.82,High,1,1,0,4.2,13,13,3.1,pickup
13.81,866.89,Medium,1,1,1,4.6,24,16,5.2,digibazaar_delivery
12.96,1318.45,High,0,1,1,4.5,17,4,0.0,digibazaar_delivery
3.89,1603.87,Medium,1,1,1,2.6,9,14,4.8,digibazaar_delivery
9.15,1841.89,High,1,0,0,4.0,12,48,5.3,shop_delivery
1.96,2239.45,High,0,0,1,3.7,5,28,0.0,digibazaar_delivery
7.0,2624.49,Medium,0,1,0,4.1,8,32,0.0,pickup
10.32,279.95,Low,1,0,0,3.9,5,19,3.5,shop_delivery
5.19,2224.04,Medium,1,0,1,3.4,6,45,7.7,digibazaar_delivery
1.53,492.35,Low,0,1,0,3.9,8,16,0.0,pickup
14.4,2665.0,Medium,1,0,1,4.8,20,9,6.4,digibazaar_delivery
6.98,1756.88,Medium,1,0,0,4.1,8,11,6.2,shop_delivery
1.07,1508.0,Medium,1,1,0,4.4,5,31,6.2,shop_delivery
5.36,1187.56,Low,1,1,1,4.1,10,17,3.5,pickup
1.77,878.59,Medium,1,0,1,3.1,22,39,3.1,digibazaar_delivery
6.86,763.58,Medium,0,1,1,3.9,25,27,0.0,digibazaar_delivery
0.6,706.2,Low,0,1,0,4.8,21,39,0.0,pickup
11.44,2754.96,Low,1,1,1,2.7,8,1,7.4,pickup
11.02,265.1,Medium,1,1,0,4.5,10,29,4.0,pickup
6.82,1758.18,High,0,0,1,3.8,13,36,0.0,digibazaar_delivery
7.58,2977.79,Low,1,0,0,4.5,11,31,3.5,shop_delivery
11.63,1874.75,High,1,1,1,3.5,15,20,3.2,digibazaar_delivery
